condition,bootstrap_configuration,cluster_counts,probability,D,alpha,beta,weighted_sse,converged,alpha_at_lower_bound,beta_at_lower_bound,any_upper_bound
nordholt_ddac,36,0;0;1;1;1;3,0.00257201646090535,-77.97261419440845,1.0000000000000018e-08,33.22613333439343,110.13411361580688,True,True,False,False
nordholt_ddac,37,0;0;1;1;2;2,0.0038580246913580292,-78.01746293960808,1.0000000000000018e-08,33.15917834410716,107.14336447217157,True,True,False,False
nordholt_ddac,38,0;0;1;1;3;1,0.00257201646090535,-78.06248227386907,1.0000000000000018e-08,33.10081845289268,104.14905067101319,True,True,False,False
nordholt_ddac,39,0;0;1;1;4;0,0.0006430041152263385,-78.10776385574852,1.0000000000000018e-08,33.049321651267356,101.15165125068958,True,True,False,False
nordholt_ddac,40,0;0;1;2;0;3,0.001286008230452675,-75.64665634760632,1.0000056799734373e-08,30.221438561041822,110.12869548646528,True,True,False,False
nordholt_ddac,41,0;0;1;2;1;2,0.0038580246913580292,-75.67560037189544,1.0000000000000018e-08,30.357791077101872,107.35977975985159,True,True,False,False
nordholt_ddac,42,0;0;1;2;2;1,0.0038580246913580292,-75.70509469080967,1.0000000000000018e-08,30.479555751228204,104.57064597429061,True,True,False,False
nordholt_ddac,43,0;0;1;2;3;0,0.001286008230452675,-75.73508111682574,1.0000000000000018e-08,30.588851258142526,101.76420924269726,True,True,False,False
nordholt_ddac,44,0;0;1;3;0;2,0.001286008230452675,-73.07587896287735,1.0000000000000018e-08,28.8131914750036,97.21566701038614,True,True,False,False
nordholt_ddac,45,0;0;1;3;1;1,0.00257201646090535,-73.10349032440578,1.0000000000000018e-08,28.992857301526456,94.84410298916532,True,True,False,False
nordholt_ddac,46,0;0;1;3;2;0,0.001286008230452675,-73.13119647012623,1.0000000000000018e-08,29.15788943480716,92.42816844403944,True,True,False,False
nordholt_ddac,47,0;0;1;4;0;1,0.0006430041152263385,-70.37973819208146,1.0000000000000018e-08,28.107852780518183,77.38680150730886,True,True,False,False
nordholt_ddac,48,0;0;1;4;1;0,0.0006430041152263385,-70.41469396342545,1.0000000000000018e-08,28.291551185361925,75.36795978635783,True,True,False,False
nordholt_ddac,49,0;0;1;5;0;0,0.00012860082304526734,-67.67486681322673,1.0000000000000018e-08,27.77782760223973,51.34554666786212,True,True,False,False
nordholt_ddac,50,0;0;2;0;0;4,0.0003215020576131692,-999.9999999999989,509.5624680986468,102.92809280681553,72.54581370848118,True,False,False,True
nordholt_ddac,51,0;0;2;0;1;3,0.001286008230452675,-999.9999999999989,478.7892689897628,99.38729522461506,72.97516531753723,True,False,False,True
nordholt_ddac,52,0;0;2;0;2;2,0.0019290123456790144,-999.9999999999926,456.06905139656305,96.69248725039986,73.02196902777843,True,False,False,True
