condition,parameter,fixed_value,profile_sse,reference_sse,relative_sse,delta_sse,conditional_gaussian_lr,n_observations,converged,optimized_D,optimized_alpha,optimized_beta
nordholt_h2o2,D_abs,37.18321698219227,196.6094935693805,88.32837226155871,2.2258928647205094,108.28112130782179,28.00553429235583,35,True,-37.18321698219226,1.0000919086704305e-08,999.9999999762446
nordholt_h2o2,D_abs,39.232497982213175,188.0031658719847,88.32837226155871,2.1284572675614144,99.67479361042598,26.438910041899167,35,True,-39.23249798221317,1.0001098679959384e-08,999.9999999666665
nordholt_h2o2,D_abs,39.81071705534978,185.63930216415096,88.32837226155871,2.101695043291801,97.31092990259225,25.996046391714508,35,True,-39.81071705534977,1.0001154150212943e-08,999.9999999635986
nordholt_h2o2,D_abs,41.394721136191805,179.3089513899667,88.32837226155871,2.0300266697884517,90.98057912840798,24.781712577797663,35,True,-41.39472113619181,1.0001314689879395e-08,999.9999999538669
nordholt_h2o2,D_abs,43.67611103223516,170.56577521174825,88.32837226155871,1.9310417575302696,82.23740295018953,23.0320869811914,35,True,-43.676111032235156,1.0001591729955171e-08,999.9999999351859
nordholt_h2o2,D_abs,46.08323531457007,161.8196650926517,88.32837226155871,1.832023628981523,73.49129283109298,21.18974074295539,35,True,-46.08323531457007,1.0001950903030719e-08,999.9999999081967
nordholt_h2o2,D_abs,48.6230235904169,153.1247043912381,88.32837226155871,1.7335845829673386,64.7963321296794,19.25669473443498,35,True,-48.6230235904169,1.0002412372369726e-08,999.999999870958
nordholt_h2o2,D_abs,50.118723362727245,148.26031910934464,88.32837226155871,1.6785129773513197,59.93194684778592,18.126789412377992,35,True,-50.11872336272724,1.0002721428481523e-08,999.9999998453972
nordholt_h2o2,D_abs,51.30278737887904,144.5441011199535,88.32837226155871,1.636440222083209,56.21572885839478,17.238315023537304,35,True,-51.302787378879046,1.0003001644165869e-08,999.9999998221048
nordholt_h2o2,D_abs,54.130241159276764,136.15138671232717,88.32837226155871,1.5414230244066374,47.823014450768454,15.144711105447046,35,True,-54.130241159276764,1.0003795247280809e-08,999.9999997591959
nordholt_h2o2,D_abs,57.113524579519314,128.03175967438904,88.32837226155871,1.4494975554996115,39.703387412830324,12.992594402699863,35,True,-57.11352457951931,1.0004854460351576e-08,999.9999996919155
nordholt_h2o2,D_abs,60.26122588844825,120.28359103209614,88.32837226155871,1.3617775121668876,31.955218770537428,10.807679421519243,35,True,-60.26122588844823,1.0006312201996479e-08,999.9999995625773
nordholt_h2o2,D_abs,63.09573444801943,114.02593135791344,88.32837226155871,1.2909321029969725,25.697559096354723,8.937758127032662,35,True,-63.095734448019414,1.0006312201996479e-08,999.9999993092243
nordholt_h2o2,D_abs,63.582406659609276,113.02011042961787,88.32837226155871,1.2795448114332026,24.69173816805916,8.627653951606437,35,True,-63.582406659609276,1.0006312201996479e-08,999.9999993092243
nordholt_h2o2,D_abs,67.08662787762657,106.37112471757666,88.32837226155871,1.2042690473519608,18.04275245601795,6.505547411253211,35,True,-67.08662787762657,1.0006312036656356e-08,440.5441905803913
nordholt_h2o2,D_abs,70.78397746227746,100.48443090481187,88.32837226155871,1.1376234875839955,12.15605864325316,4.512949926243672,35,True,-70.78397746227749,1.0006312027473938e-08,262.4984202854184
nordholt_h2o2,D_abs,74.68509930950285,95.52980624888161,88.32837226155871,1.0815302467705161,7.2014339873229005,2.7431926705835874,35,True,-74.68509930950286,1.0020429410786994e-08,202.3416361518536
nordholt_h2o2,D_abs,78.80122393295696,91.70069688162644,88.32837226155871,1.0381794041226253,3.3723246200677295,1.311401215280103,35,True,-78.80122393295694,1.0020429410786994e-08,169.6544872297175
nordholt_h2o2,D_abs,79.43282347242821,91.24020030503173,88.32837226155871,1.0329659425269435,2.9118280434730224,1.1351977039825334,35,True,-79.4328234724282,1.0020429410786994e-08,165.93696885991793
nordholt_h2o2,D_abs,83.14420079430649,89.217048614214,88.32837226155871,1.0100610520708309,0.8886763526552812,0.3503771817408756,35,True,-83.14420079430646,1.0020429410786994e-08,148.02794574893576
nordholt_h2o2,D_abs,87.72653241535198,88.32837225997125,88.32837226155871,0.9999999999820277,-1.5874661585257854e-09,0.0,35,True,-87.72653241535198,1.0020429410786994e-08,131.62085197410735
nordholt_h2o2,D_abs,92.56141037017218,88.5572517346791,88.32837226155871,1.0025912339066163,0.22887947312038648,0.09057588569387978,35,True,-92.56141037017218,46.49760947452655,999.9999999999989
nordholt_h2o2,D_abs,97.66275326090634,88.75555902047579,88.32837226155871,1.0048363481402338,0.4271867589170739,0.16886417030479042,35,True,-97.66275326090637,101.24588571737759,999.9999999999989
nordholt_h2o2,D_abs,100.0,88.8391365645438,88.32837226155871,1.005782562158766,0.5107643029850806,0.20180675621587943,35,True,-100.00000000000004,126.32977270461251,999.9999999999989
nordholt_h2o2,D_abs,103.0452467864976,88.94191716707753,88.32837226155871,1.0069461815021563,0.6135449055188218,0.24227587723812713,35,True,-103.04524678649759,159.01227868436797,999.9999999999989
