condition,initial_condition_scenario,initial_fraction,bootstrap_id,sampled_replicates,D,alpha,beta,train_sse
ciprofloxacin,assumed_0.1pct,0.001,92,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,93,3;3;3,-3.8360495254558673,2.6503308940077414e-08,0.640659713524138,11.245309686505108
ciprofloxacin,assumed_0.1pct,0.001,94,3;2;3,-4.0208552487731675,1.0000013376230197e-08,0.5702190869137657,13.798867477060478
ciprofloxacin,assumed_0.1pct,0.001,95,2;2;1,-4.770465984827408,1.0000237006140267e-08,0.4785047624546286,10.040415225970586
ciprofloxacin,assumed_0.1pct,0.001,96,1;3;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889828
ciprofloxacin,assumed_0.1pct,0.001,97,3;1;2,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889826
ciprofloxacin,assumed_0.1pct,0.001,98,2;3;3,-4.020853526522834,1.0000000000142446e-08,0.5702192590999625,13.798867477055168
ciprofloxacin,assumed_0.1pct,0.001,99,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,100,1;2;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,101,2;2;2,-4.493546066441612,1.0000457454846759e-08,0.4334975962766281,6.833219304469463
ciprofloxacin,assumed_0.1pct,0.001,102,2;1;1,-5.044609310097847,1.0000007504681597e-08,0.524341437137811,10.37500909068164
ciprofloxacin,assumed_0.1pct,0.001,103,2;2;1,-4.770465984827408,1.0000237006140267e-08,0.4785047624546286,10.040415225970586
ciprofloxacin,assumed_0.1pct,0.001,104,3;2;2,-4.246798470220385,1.0000008453617223e-08,0.500813315224446,12.322395134899415
ciprofloxacin,assumed_0.1pct,0.001,105,2;3;2,-4.246801300385488,1.0000007666272851e-08,0.500813019940162,12.322395134938747
ciprofloxacin,assumed_0.1pct,0.001,106,3;2;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,107,3;2;2,-4.246798470220385,1.0000008453617223e-08,0.500813315224446,12.322395134899415
ciprofloxacin,assumed_0.1pct,0.001,108,2;3;2,-4.246801300385488,1.0000007666272851e-08,0.500813019940162,12.322395134938747
ciprofloxacin,assumed_0.1pct,0.001,109,3;3;2,-4.0208544443686725,1.0000000000448726e-08,0.5702190952625862,13.798867477046203
ciprofloxacin,assumed_0.1pct,0.001,110,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,111,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,112,1;1;1,-5.317929118955566,1.0000661939984926e-08,0.5707851943141231,7.911911638249623
ciprofloxacin,assumed_0.1pct,0.001,113,3;3;2,-4.0208544443686725,1.0000000000448726e-08,0.5702190952625862,13.798867477046203
ciprofloxacin,assumed_0.1pct,0.001,114,1;1;2,-5.044614402701317,1.0000000486612416e-08,0.524341069215893,10.375009090899587
ciprofloxacin,assumed_0.1pct,0.001,115,1;2;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,116,3;1;1,-4.804535588507825,1.3270101205237186e-08,0.5884795594458904,12.97904738843291
ciprofloxacin,assumed_0.1pct,0.001,117,1;2;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,118,1;1;3,-4.804537737809781,1.000094232643539e-08,0.5884790183491226,12.97904501921233
ciprofloxacin,assumed_0.1pct,0.001,119,2;1;2,-4.770477884523323,1.0000000000748647e-08,0.4785046945961599,10.040415225569085
ciprofloxacin,assumed_0.1pct,0.001,120,1;3;3,-4.2841086597677815,1.000000038640098e-08,0.6120669621982238,14.385707793608091
ciprofloxacin,assumed_0.1pct,0.001,121,3;2;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,122,2;1;3,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,123,2;3;1,-4.525388255706523,1.000000023831783e-08,0.5441103775776698,14.151400910889825
ciprofloxacin,assumed_0.1pct,0.001,124,3;2;2,-4.246798470220385,1.0000008453617223e-08,0.500813315224446,12.322395134899415
