condition,initial_condition_scenario,initial_fraction,trial,split_id,n_train_observations,n_test_observations,train_times_h,test_times_h,method,test_rmse_observed_log,D,alpha,beta,train_sse,initial_condition_max_abs_error
ciprofloxacin,classification_anchor,0.00016165371753033532,8,2bd28833be7c,30,6,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,PINN,0.7349543177891168,-4.093512954222112,0.0005737816460813875,0.34654582608831547,0.10648274040831142,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,9,3f1a2829110a,30,6,0;0.66666667;1;2;2.5;3;4;5;6;7,0.33333333;1.5,NLLS,0.6279327400838519,-4.2789786772797385,0.0013161453710937234,0.4075980179725331,11.123860287983751,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,9,3f1a2829110a,30,6,0;0.66666667;1;2;2.5;3;4;5;6;7,0.33333333;1.5,NN,0.756302442320496,,,,0.4194000738487564,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,9,3f1a2829110a,30,6,0;0.66666667;1;2;2.5;3;4;5;6;7,0.33333333;1.5,PINN,0.6624225893491767,-4.055370634320588,0.0005266479886541864,0.30527510781324546,0.1098694609846666,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,10,81b42f0bc07a,30,6,0;0.33333333;0.66666667;1;1.5;2;2.5;3;5;7,4;6,NLLS,0.6117515219986837,-4.425416365817208,0.0020580770996023543,0.4388991170805758,11.591603182386207,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,10,81b42f0bc07a,30,6,0;0.33333333;0.66666667;1;1.5;2;2.5;3;5;7,4;6,NN,0.4870224739560661,,,,0.4780698970555244,0.0
ciprofloxacin,classification_anchor,0.00016165371753033532,10,81b42f0bc07a,30,6,0;0.33333333;0.66666667;1;1.5;2;2.5;3;5;7,4;6,PINN,0.520236780061405,-4.188350859946055,0.0005946600519182559,0.29404719986020655,0.12050929475316366,0.0
ampicillin,assumed_0.1pct,0.001,1,0c4cb4b687bd,49,11,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,NLLS,0.831382889762093,-4.490280287995126,2.1012742210346297e-08,1.4007611206224455,57.74577694217726,0.0
ampicillin,assumed_0.1pct,0.001,1,0c4cb4b687bd,49,11,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,NN,0.8189143267109813,,,,1.1433143826142809,0.0
ampicillin,assumed_0.1pct,0.001,1,0c4cb4b687bd,49,11,0;0.66666667;1;1.5;2;2.5;4;5;6;7,0.33333333;3,PINN,0.7940387572739867,-4.428978421862699,5.049307068386415e-06,1.3595172004891687,0.32975769816295863,0.0
ampicillin,assumed_0.1pct,0.001,2,a4cbfc0d95a9,51,9,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NLLS,1.1200474907932754,-4.673263119155143,1.0000007620910915e-08,1.375759563851211,54.68650438519487,0.0
ampicillin,assumed_0.1pct,0.001,2,a4cbfc0d95a9,51,9,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NN,1.1104292295160065,,,,1.036513998495987,0.0
ampicillin,assumed_0.1pct,0.001,2,a4cbfc0d95a9,51,9,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,PINN,1.0838022014819628,-4.59580742907632,4.7564383772009384e-05,1.3398480121987857,0.30081478085528895,0.0
ampicillin,assumed_0.1pct,0.001,3,9c5db6337f09,48,12,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,NLLS,1.603475784563985,-5.366164763355855,1.0028317233385027e-08,1.393312802412669,46.704605390229936,0.0
ampicillin,assumed_0.1pct,0.001,3,9c5db6337f09,48,12,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,NN,1.3484813818055381,,,,0.9681302735562841,0.0
ampicillin,assumed_0.1pct,0.001,3,9c5db6337f09,48,12,0;0.33333333;0.66666667;1;2.5;3;4;5;6;7,1.5;2,PINN,1.6198409410222092,-5.363026355088319,5.65422468966286e-05,1.3468316482618583,0.27295410636934453,0.0
ampicillin,assumed_0.1pct,0.001,4,1705cb1c079b,48,12,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,NLLS,1.5141737224282787,-5.101974650352732,0.0005195566861911328,1.3496851188280892,45.568343270078266,0.0
ampicillin,assumed_0.1pct,0.001,4,1705cb1c079b,48,12,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,NN,1.316003470850558,,,,0.9594105414965881,0.0
ampicillin,assumed_0.1pct,0.001,4,1705cb1c079b,48,12,0;0.33333333;0.66666667;1;2;2.5;3;5;6;7,1.5;4,PINN,1.4408704231192402,-5.0345149851665045,0.00046316082932258945,1.3308462251449644,0.2770394222399205,0.0
ampicillin,assumed_0.1pct,0.001,5,f772ef9d76cc,48,12,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,NLLS,0.9567405761857869,-4.611891296883966,2.9502020154581956e-08,1.4083914909577566,54.40127882137038,0.0
ampicillin,assumed_0.1pct,0.001,5,f772ef9d76cc,48,12,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,NN,0.9562938876924194,,,,1.0908100498234845,0.0
ampicillin,assumed_0.1pct,0.001,5,f772ef9d76cc,48,12,0;0.33333333;0.66666667;1.5;2.5;3;4;5;6;7,1;2,PINN,0.9425682748900431,-4.522943380135574,2.4804191227504133e-05,1.36011814597541,0.3136989222378166,0.0
ampicillin,assumed_0.1pct,0.001,6,2bd28833be7c,51,9,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NLLS,1.4270925614138945,-4.409491982646421,1.000026338123703e-08,1.503742696549051,50.96285046633899,0.0
ampicillin,assumed_0.1pct,0.001,6,2bd28833be7c,51,9,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NN,1.3534252668292703,,,,0.9845626039922275,0.0
ampicillin,assumed_0.1pct,0.001,6,2bd28833be7c,51,9,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,PINN,1.342400886875065,-4.3711298036742,1.4077341146872474e-05,1.4797675911710306,0.2881353216479452,0.0
ampicillin,assumed_0.1pct,0.001,7,a4cbfc0d95a9,51,9,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NLLS,1.1200474907932754,-4.673263119155143,1.0000007620910915e-08,1.375759563851211,54.68650438519487,0.0
ampicillin,assumed_0.1pct,0.001,7,a4cbfc0d95a9,51,9,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,NN,1.110179396512571,,,,1.036283336458695,0.0
ampicillin,assumed_0.1pct,0.001,7,a4cbfc0d95a9,51,9,0;0.33333333;0.66666667;1;1.5;2.5;3;4;6;7,2;5,PINN,1.0876442493797633,-4.5987480225509305,2.4030372902796368e-05,1.3358539415273163,0.3005683929823938,0.0
ampicillin,assumed_0.1pct,0.001,8,2bd28833be7c,51,9,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NLLS,1.4270925614138945,-4.409491982646421,1.000026338123703e-08,1.503742696549051,50.96285046633899,0.0
ampicillin,assumed_0.1pct,0.001,8,2bd28833be7c,51,9,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,NN,1.3536610925617325,,,,0.9848066484334215,0.0
ampicillin,assumed_0.1pct,0.001,8,2bd28833be7c,51,9,0;0.33333333;0.66666667;1.5;2;2.5;3;4;5;6,1;7,PINN,1.344885661587792,-4.372160913208343,3.667295663966489e-05,1.4813638793715806,0.2884147595617482,0.0
ampicillin,assumed_0.1pct,0.001,9,3f1a2829110a,49,11,0;0.66666667;1;2;2.5;3;4;5;6;7,0.33333333;1.5,NLLS,1.068887196658428,-4.873635323583753,1.0000000000008793e-08,1.3944191041748428,55.13746436290013,0.0
ampicillin,assumed_0.1pct,0.001,9,3f1a2829110a,49,11,0;0.66666667;1;2;2.5;3;4;5;6;7,0.33333333;1.5,NN,0.9518183177477618,,,,1.1030563691076114,0.0
