dataset,condition,initial_condition_scenario,initial_fraction,fold,selection_seed,train_times_h,test_times_h,n_train_observations,n_test_observations,method,D,alpha,beta,train_sse,training_objective,network_train_sse,ode_implied_train_sse,test_rmse_observed_log,ode_implied_test_rmse_log,network_to_fitted_ode_rmse_log,initial_condition_max_abs_error,selected_start_id,selected_weight_seed_index,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_network_seed,network_observed_sse,network_r2,ode_implied_observed_sse,ode_implied_r2
Umetani,ampicillin,assumed_0.1pct,0.001,1,80001,0;0.666666666667;1;1.5;2;2.5;4;5;6;7,0.333333333333;3,49,11,PINN,-5.64239936960999,1.7075472245587475e-05,1.3294789573278976,77.20364730132006,0.5039620900552434,77.20364730132006,78.42771209199589,0.7445622464498697,0.7474513507452092,0.017390272376056472,0.0,2.0,0.0,0.014074329571587899,0.02101472130447217,80001200.0,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,2,80002,0;0.333333333333;0.666666666667;1;1.5;2.5;3;4;6;7,2;5,51,9,NLLS,-4.673283914468894,1.0000000015708875e-08,1.375751740052298,54.68650443229911,54.68650443229911,54.68650443229911,54.68650443229911,1.1200618779089804,1.1200618779089804,0.0,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,2,80002,0;0.333333333333;0.666666666667;1;1.5;2.5;3;4;6;7,2;5,51,9,NN,,,,53.331038712885125,1.0457162511182363,53.331038712885125,,1.0712583731304213,,,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,2,80002,0;0.333333333333;0.666666666667;1;1.5;2.5;3;4;6;7,2;5,51,9,PINN,-4.681751285546895,6.608175970723495e-05,1.381060748739408,54.57186921358003,0.33252156581685877,54.57186921358003,54.813023132554505,1.1189910504837999,1.1192164804964142,0.005637010743285378,0.0,1.0,1.0,0.013435560982378482,0.0071155644220518375,80002101.0,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,3,80003,0;0.333333333333;0.666666666667;1;2.5;3;4;5;6;7,1.5;2,48,12,NLLS,-5.365850533646491,1.0000030929547237e-08,1.393327950434377,46.70460588810148,46.70460588810148,46.70460588810148,46.70460588810148,1.6032821910320487,1.6032821910320487,0.0,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,3,80003,0;0.333333333333;0.666666666667;1;2.5;3;4;5;6;7,1.5;2,48,12,NN,,,,49.96838972836371,1.0410479696224035,49.96838972836371,,1.0642866495016676,,,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,3,80003,0;0.333333333333;0.666666666667;1;2.5;3;4;5;6;7,1.5;2,48,12,PINN,-5.055559153271193,7.457908713081258e-05,1.399050136021056,47.41238460102597,0.3126677515279455,47.41238460102597,47.64071027948964,1.3859339058346856,1.3859678902928818,0.013215780743145347,0.0,1.0,0.0,0.01693747859403952,0.006614661224333029,80003100.0,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,4,80004,0;0.333333333333;0.666666666667;1;2;2.5;3;5;6;7,1.5;4,48,12,NLLS,-5.102042072975256,0.000522376851634461,1.3498186209094118,45.56834399513166,45.56834399513166,45.56834399513167,45.56834399513167,1.5142168042900461,1.5142168042900461,0.0,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,4,80004,0;0.333333333333;0.666666666667;1;2;2.5;3;5;6;7,1.5;4,48,12,NN,,,,46.990516428306314,0.9789837721050425,46.990516428306314,,1.2302366611563815,,,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,4,80004,0;0.333333333333;0.666666666667;1;2;2.5;3;5;6;7,1.5;4,48,12,PINN,-6.019603628891758,2.7081950281018696e-06,1.25905507433745,51.97936522974318,0.3402209883413822,51.97936522974318,52.16742437616486,1.9540485834293668,1.9547554316025202,0.0037803145773202033,0.0,0.0,0.0,0.016638383792821333,0.005989602433600191,80004000.0,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,5,80005,0;0.333333333333;0.666666666667;1.5;2.5;3;4;5;6;7,1;2,48,12,NLLS,-4.610005467799492,1.0000010590437126e-08,1.4084642753291918,54.401192982006165,54.401192982006165,54.401192982006165,54.401192982006165,0.9564502421381232,0.9564502421381232,0.0,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,5,80005,0;0.333333333333;0.666666666667;1.5;2.5;3;4;5;6;7,1;2,48,12,NN,,,,52.78059078377972,1.0996034740875773,52.78059078377972,,0.9570171424079779,,,0.0,,,,,,,,,
Umetani,ampicillin,assumed_0.1pct,0.001,5,80005,0;0.333333333333;0.666666666667;1.5;2.5;3;4;5;6;7,1;2,48,12,PINN,-4.867264664802551,1.9253482545011767e-07,1.366034613580215,54.9386020137216,0.452177782570187,54.9386020137216,55.72556601996901,1.0058656422972623,1.0079651089582917,0.0213575306856368,0.0,3.0,1.0,0.04543049815343023,0.012256105222230602,80005301.0,,,,
