condition,trial,split_seed,initial_fraction,train_times_h,test_times_h,n_train_observations,n_test_observations,method,D,alpha,beta,train_sse,global_objective_before_polish,global_nfev,test_rmse_observed_log,ode_implied_test_rmse_log,network_to_fitted_ode_rmse_log,initial_condition_max_abs_error,selected_start_id,all_RN_rmse_h-1,all_RP_rmse_h-1,selected_weight_seed_index
nordholt_bac,3,5203,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.166666666667;0.366666666667,0.0833333333333;0.333333333333,18,6,NLLS,-53.16469473848667,0.07261156389846028,10.005788645689442,11.269947256764826,11.269947256997895,3735.0,1.0965605797002471,1.0965605797002471,0.0,0.0,,,,
nordholt_bac,3,5203,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.166666666667;0.366666666667,0.0833333333333;0.333333333333,18,6,NN,,,,11.437547798262496,,,1.1559295388250665,,,0.0,,,,
nordholt_bac,3,5203,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.166666666667;0.366666666667,0.0833333333333;0.333333333333,18,6,PINN,-47.04041360200288,8.216501646225231e-05,7.303793807025287,0.19139671366982203,,,1.1705661805662666,1.1726345186333906,0.003156828931634257,0.0,1.0,0.07615028966716406,0.03207320232065145,2.0
nordholt_bac,4,5204,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.0833333333333;0.333333333333,0.166666666667;0.366666666667,18,6,NLLS,-52.58114966671393,0.0018038927115891419,5.039739899443364,12.272730183797561,12.272730186218574,4050.0,1.0770077194930896,1.0770077194930896,0.0,0.0,,,,
nordholt_bac,4,5204,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.0833333333333;0.333333333333,0.166666666667;0.366666666667,18,6,NN,,,,12.271891920781503,,,1.086332832992843,,,0.0,,,,
nordholt_bac,4,5204,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.0833333333333;0.333333333333,0.166666666667;0.366666666667,18,6,PINN,-52.43105932151329,1.5606751531868956e-06,4.464687135563355,0.20734619122290557,,,1.1330210411778514,1.1359537887260729,0.004247146842338771,0.0,0.0,0.11413795495536279,0.03095420210303986,1.0
nordholt_bac,5,5205,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.0833333333333;0.166666666667,0.333333333333;0.366666666667,18,6,NLLS,-52.625936740591584,1.00021306291224e-08,3.369657884839104,12.68979184496546,12.689791845039723,2250.0,1.3238242140352483,1.3238242140352483,0.0,0.0,,,,
nordholt_bac,5,5205,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.0833333333333;0.166666666667,0.333333333333;0.366666666667,18,6,NN,,,,12.688983927355814,,,1.3773737503648036,,,0.0,,,,
nordholt_bac,5,5205,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.0833333333333;0.166666666667,0.333333333333;0.366666666667,18,6,PINN,-53.220358382383935,0.00017854215442443942,1.0206100873803505,0.21704493693043497,,,1.9391910254137072,1.9450835760911087,0.006485380733277792,0.0,1.0,0.1105995473665581,0.0409739827575984,1.0
nordholt_bac,6,5206,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.0833333333333;0.166666666667,0.333333333333;0.366666666667,18,6,NLLS,-52.62593693268242,3.0692501901568395e-08,3.3696605992913615,12.689791845152477,12.68979184515768,2295.0,1.3238238795879935,1.3238238795879935,0.0,0.0,,,,
nordholt_bac,6,5206,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.0833333333333;0.166666666667,0.333333333333;0.366666666667,18,6,NN,,,,12.688065928265713,,,1.3793662141221135,,,0.0,,,,
nordholt_bac,6,5206,0.001,0;0.00833333333333;0.0166666666667;0.0333333333333;0.0833333333333;0.166666666667,0.333333333333;0.366666666667,18,6,PINN,-53.3240280925452,0.0001912354409232554,1.5290890202535454,0.21413816355645698,,,1.7980437085943306,1.8006823412899906,0.003027982598725345,0.0,1.0,0.04520428028036829,0.03207999772452795,0.0
nordholt_ddac,1,5301,0.001,0;0.00555555555556;0.0111111111111;0.0333333333333;0.05;0.0666666666667;0.0833333333333;0.116666666667;0.133333333333;0.15;0.166666666667;0.25;0.333333333333,0.0166666666667;0.1;0.208333333333,72,16,NLLS,-68.63123244141764,1.0000001707557814e-08,24.74792085915064,129.2862683053259,129.28626831426857,2160.0,1.1721174320329741,1.1721174320329741,0.0,0.0,,,,
