alpha_true,beta_true,beta_alpha_ratio,method,metric,median,q1,q3,mean,sd,n
0.1,0.01,0.09999999999999999,PINN,test_rmse_observed_log,0.1496992784805363,0.1404813851896746,0.15162028297965816,0.14634625704059184,0.00808965880432557,5
0.1,0.01,0.09999999999999999,PINN,test_rmse_latent_log,0.10893870231233471,0.09140625102204808,0.11412325886568635,0.10433763901615618,0.01808828339687416,5
0.1,0.01,0.09999999999999999,PINN,network_to_fitted_ode_rmse_log,0.2505988996684388,0.22424962501832185,0.29911879663847507,0.25385115444298906,0.052128408454650534,5
0.1,0.1,1.0,NLLS,alpha_relative_error_pct,1.4397045226451244,0.9471318759874281,2.3788269829646214,1.7080318470037128,0.8610257053270615,5
0.1,0.1,1.0,NLLS,beta_relative_error_pct,2.4584272601239077,2.035582566158034,2.709762690680062,2.6783636381351172,2.174285374308416,5
0.1,0.1,1.0,NLLS,test_rmse_observed_log,0.10022817647267117,0.0990156933899539,0.10351564360741371,0.10018591560035157,0.013353691305713039,5
0.1,0.1,1.0,NLLS,test_rmse_latent_log,0.012811311559080467,0.008870882706727952,0.015755642054870914,0.012419763888754333,0.0042706759135199565,5
0.1,0.1,1.0,NLLS,network_to_fitted_ode_rmse_log,0.0,0.0,0.0,0.0,0.0,5
0.1,0.1,1.0,PINN,alpha_relative_error_pct,27.752043390572624,25.688590069611895,29.20768297383709,25.705383068056882,6.613943170207633,5
0.1,0.1,1.0,PINN,beta_relative_error_pct,33.49195606717532,29.03983915335211,34.61881798183332,32.064895699286005,3.7607273764204656,5
0.1,0.1,1.0,PINN,test_rmse_observed_log,0.10876001030621245,0.10331069104152114,0.11551448862416935,0.1091104318105018,0.011458643741113874,5
0.1,0.1,1.0,PINN,test_rmse_latent_log,0.038176216952935646,0.03351920904384709,0.048840865166594444,0.04025106861917591,0.009087710543119534,5
0.1,0.1,1.0,PINN,network_to_fitted_ode_rmse_log,0.18466522116398046,0.16978357080937695,0.20044042012228,0.17191125343269692,0.04159387212749301,5
