condition,parameter,fixed_value,profile_sse,likelihood_ratio_statistic
ciprofloxacin,alpha,4.6415888336127725e-07,14.151665662669123,0.0006735003571437707
ciprofloxacin,alpha,1e-06,14.151978061304547,0.0014681931525563727
ciprofloxacin,alpha,2.1544346900318822e-06,14.152651213538473,0.003180526509098512
ciprofloxacin,alpha,4.641588833612773e-06,14.154101988648227,0.0068706638854197
ciprofloxacin,alpha,9.999999999999999e-06,14.157229958901928,0.01482556546334926
ciprofloxacin,alpha,2.1544346900318823e-05,14.16397990128062,0.03198570314345806
ciprofloxacin,alpha,4.641588833612772e-05,14.178572311273573,0.0690555338506203
ciprofloxacin,alpha,0.0001,14.21023683190756,0.1493634615129834
ciprofloxacin,alpha,0.00021544346900318823,14.279444379869279,0.32426725274272905
ciprofloxacin,alpha,0.00046415888336127724,14.432581122053678,0.708285788383207
ciprofloxacin,alpha,0.001,14.776704727134417,1.5565792429852292
ciprofloxacin,alpha,0.002154434690031882,15.553695156587409,3.4014462317940115
ciprofloxacin,alpha,0.004641588833612773,17.248890374325313,7.125630904362925
ciprofloxacin,alpha,0.01,20.623441782944532,13.55813121435977
ciprofloxacin,alpha,0.021544346900318822,26.494354704574572,22.576250044352836
ciprofloxacin,alpha,0.046415888336127725,35.166122687608905,32.76970459326524
ciprofloxacin,alpha,0.1,45.920351836165736,42.37541245529779
ciprofloxacin,alpha,0.21544346900318823,57.44351197110875,50.43558387365182
ciprofloxacin,alpha,0.46415888336127725,66.89817070046129,55.92088798113929
ciprofloxacin,alpha,1.0,70.3706482013544,57.742654455809706
ciprofloxacin,beta,0.01,125.40158445305127,78.54147503338919
ciprofloxacin,beta,0.01333521432163324,124.00397808965627,78.13800082671153
ciprofloxacin,beta,0.01778279410038923,122.15415467745518,77.59692671561923
ciprofloxacin,beta,0.023713737056616554,119.71211513686383,76.86994307230759
ciprofloxacin,beta,0.03162277660168379,116.4995829109644,75.89066649629486
ciprofloxacin,beta,0.042169650342858224,112.2937821936385,74.56697528023992
ciprofloxacin,beta,0.056234132519034905,106.824207024936,72.76935365588098
ciprofloxacin,beta,0.07498942093324558,99.77731912991732,70.31258174763035
ciprofloxacin,beta,0.1,90.81875463687619,66.92587882735738
ciprofloxacin,beta,0.1333521432163324,79.65112357712955,62.20233069090787
ciprofloxacin,beta,0.1778279410038923,66.14076256413502,55.510978087374816
ciprofloxacin,beta,0.23713737056616552,50.573826262158015,45.85033985125317
ciprofloxacin,beta,0.31622776601683794,34.148810762727734,31.712908967430014
ciprofloxacin,beta,0.4216965034285822,19.88977540708321,12.254118392060441
ciprofloxacin,beta,0.5623413251903491,14.2743962161096,0.3115380441004842
ciprofloxacin,beta,0.7498942093324558,18.194712495719344,9.047426621952463
ciprofloxacin,beta,1.0,29.454002544048382,26.388582738593485
ciprofloxacin,beta,1.333521432163324,55.87539312091528,49.439176744882836
ciprofloxacin,beta,1.7782794100389228,101.07663120534974,70.77835189678024
ciprofloxacin,beta,2.371373705661655,139.84086186216666,82.46489225744875
ciprofloxacin,beta,3.1622776601683795,171.95208779587284,89.90648118676259
